Institute Name,Branch Name,Category,Gender,Closing Rank,Tuition Fee,Affiliated To
B V RAJU INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,OC,BOYS,12366,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,BIO-MEDICAL ENGINEERING,OC,BOYS,112455,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,CHEMICAL ENGINEERING,OC,BOYS,49437,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,OC,BOYS,82075,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND BUSINESS SYSTEM,OC,BOYS,12098,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,11020,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,8485,135000,JNTUH
Institute Name,Branch Name,OC,BOYS,OC BOYS,Tuition Fee,"TS
Affiliated To"
B V RAJU INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,9908,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,18371,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,30612,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,INFORMATION TECHNOLOGY,OC,BOYS,12603,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,OC,BOYS,70841,135000,JNTUH
B V RAJU INSTITUTE OF TECHNOLOGY,PHARMACEUTICAL  ENGINEERING,OC,BOYS,101649,135000,JNTUH
COLLEGE OF AGRICULTURAL ENGG,AGRICULTURAL  ENGINEERING,OC,BOYS,51223,9700,PJTSAU
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,OC,BOYS,3677,140000,OU
